Assiniboine|Location is: St Matthews Anglican Church|3|20:00:00|21:00:00|641 St. Matthews & Maryland, Winnipeg, ND 1V9
Assiniboine|Location is: St Matthews Anglican Church|4|20:00:00|21:00:00|641 St. Matthews & Maryland, Winnipeg, ND 1V9
Assiniboine|Location is: St Matthews Anglican Church|5|20:00:00|21:00:00|641 St. Matthews & Maryland, Winnipeg, ND 1V9
Assiniboine|Location is: St Matthews Anglican Church|6|20:00:00|21:00:00|641 St. Matthews & Maryland, Winnipeg, ND 1V9
Assiniboine|Location is: St Matthews Anglican Church|7|20:00:00|21:00:00|641 St. Matthews & Maryland, Winnipeg, ND 1V9
Assiniboine|Location is: St Matthews Anglican Church|1|20:00:00|21:00:00|641 St. Matthews & Maryland, Winnipeg, ND 1V9
Assiniboine 2|Location is: St Matthews Anglican Church|1|14:30:00|15:30:00|641 St. Matthews & Maryland, Winnipeg, ND 1V9
First Step 4|Location is: Salvation Army Centre|2|20:00:00|21:00:00|51 Morrow, Winnipeg, ND 
First Step 5|Location is: Salvation Army Centre|3|19:00:00|20:00:00|51 Morrow, Winnipeg, ND 
First Step 6|Location is: Salvation Army Centre|3|20:30:00|21:30:00|51 Morrow, Winnipeg, ND 
First Step 4|Location is: Salvation Army Centre|4|20:00:00|21:00:00|51 Morrow, Winnipeg, ND 
First Step 4|Location is: Salvation Army Centre|5|20:00:00|21:00:00|51 Morrow, Winnipeg, ND 
First Step 4|Location is: Salvation Army Centre|6|20:00:00|21:00:00|51 Morrow, Winnipeg, ND 
First Step 8|Location is: Salvation Army Centre|7|21:00:00|22:00:00|51 Morrow, Winnipeg, ND 
First Step (Women?s)|Location is: Salvation Army Centre|1|19:00:00|20:00:00|51 Morrow, Winnipeg, ND 
First Step 8|Location is: Salvation Army Centre|1|21:00:00|22:00:00|51 Morrow, Winnipeg, ND 
First Step 2|Location is: Salvation Army Centre|2|08:00:00|09:00:00|51 Morrow, Winnipeg, ND 
First Step 2|Location is: Salvation Army Centre|3|08:00:00|09:00:00|51 Morrow, Winnipeg, ND 
