AMOR Y FE|Location is: 4027 13th St.|2|20:00:00|21:00:00|4027 13th St., Northwest, ND 58540|47.6031659|-101.44493690000002
AMOR Y FE|Location is: 4027 13th St.|3|20:00:00|21:00:00|4027 13th St., Northwest, ND 58540|47.6031659|-101.44493690000002
AMOR Y FE|Location is: 4027 13th St.|4|20:00:00|21:00:00|4027 13th St., Northwest, ND 58540|47.6031659|-101.44493690000002
AMOR Y FE|Location is: 4027 13th St.|5|20:00:00|21:00:00|4027 13th St., Northwest, ND 58540|47.6031659|-101.44493690000002
AMOR Y FE|Location is: 4027 13th St.|6|20:00:00|21:00:00|4027 13th St., Northwest, ND 58540|47.6031659|-101.44493690000002
BACK ALLEY|Location is: BACK ALLEY|3|17:50:00|18:50:00|425 2nd St., Northwest, ND 58703|48.240449|-101.28931879999999
BACK ALLEY|Location is: BACK ALLEY|5|17:50:00|18:50:00|425 2nd St., Northwest, ND 58703|48.240449|-101.28931879999999
NEW WAY RECOVERY|Location is: 425 Second St.|1|19:00:00|20:00:00|425 Second St., Northwest, ND 58703|48.240449|-101.28931879999999
NEW WAY RECOVERY|Location is: BACK ALLEY|2|19:00:00|20:00:00|425 2nd St., Northwest, ND 58703|48.240449|-101.28931879999999
NEW WAY RECOVERY|Location is: BACK ALLEY|3|19:00:00|20:00:00|425 2nd St., Northwest, ND 58703|48.240449|-101.28931879999999
NEW WAY RECOVERY|Location is: BACK ALLEY|4|19:00:00|20:00:00|425 2nd St., Northwest, ND 58703|48.240449|-101.28931879999999
NEW WAY RECOVERY|Location is: BACK ALLEY|5|19:00:00|20:00:00|425 2nd St., Northwest, ND 58703|48.240449|-101.28931879999999
NEW WAY RECOVERY|Location is: BACK ALLEY|6|19:00:00|20:00:00|425 2nd St., Northwest, ND 58703|48.240449|-101.28931879999999
NEW WAY RECOVERY|Location is: BACK ALLEY|7|19:00:00|20:00:00|425 2nd St., Northwest, ND 58703|48.240449|-101.28931879999999
Freedom Recovery Bible Study|Location is: North Hill Baptist Church|4|19:00:00|20:00:00|524 21st Ave NW, Minot, ND 58703|48.2584056|-101.30142739999997
CAPITOL HILL|Location is: Ch. Of The Reformation|5|20:30:00|21:30:00|2nd & E. Capitol Sts., Northeast, ND 58501|46.8277425|-100.789716
Women's New Beginnings|Location is: Good Shepherd Church Downstairs, Room 110|2|18:00:00|19:00:00|N Washington St & W Divide Ave, Bismarck, ND 58501|46.82365739999999|-100.7940901
Women's New Beginnings|Location is: Good Shepherd Church, Downstairs, Room 110|2|01:00:00|02:00:00|N Washington St & W Divide Ave, Bismarck, ND 58501|46.82365739999999|-100.7940901
T.I.E. (take it easy|Location is: trinity lutheran|7|09:30:00|10:30:00|502 north 4th street, bismarck, ND 58501|46.81009599999999|-100.78685999999999
Keep It Simple|Location is: Bismarck, ND|1|11:00:00|12:00:00|1525 East Thayer Avenue, bismarck, ND 58501|46.80713|-100.76832300000001
Keep It Simple|Location is: Serenity Place|7|09:30:00|10:30:00|1525 E Thayer Ave, bismarck, ND 58501|46.80713|-100.76832300000001
