PROMISE'S BEGINNER'S|Location is: University Lutheran Church|7|19:00:00|20:00:00|1826 W University Avenue, Gainesville, GA 32603|34.16950509999999|-84.09484980000002
By the Book|Location is: University Lutheran Church|2|20:00:00|21:00:00|1826 W University Avenue, Gainesville, GA 32603|34.16950509999999|-84.09484980000002
Promises Speaker Meeting|Location is: University Lutheran Church|7|20:00:00|21:00:00|1826 W University Avenue, Gainesville, GA 32603|34.16950509999999|-84.09484980000002
Solutions|Location is: Highlands Presbyterian Church|6|19:00:00|20:00:00|1001 NE !6th Ave, gainesville, GA 32601|34.2928753|-83.835756
Promises Tuesday|Location is: Promises Tuesday|3|19:30:00|20:30:00|119 N Main Street, Gainesville, GA 32601|34.299788|-83.828101
BEGINNER'S MIND|Location is: First Presbyterian Church|4|20:00:00|21:00:00|300 SW 2nd Avenue, Gainesville, GA 32601|34.2886182|-83.83950479999999
Beginner&#39;s Mind|Location is: Presbyterian Church|4|20:00:00|21:00:00|SW 3 rd st, gainesville, GA 32601|34.2555183|-83.84296460000002
BEGINNER'S MEETING|Location is: Salvation Army|3|19:00:00|20:00:00|639 E University Avenue, Gainesville, GA 32601|34.2403325|-83.86370740000001
Eye Opener|Location is: Triangle Club|5|07:00:00|08:00:00|1005 SE 4th Avenue, Gainesville, GA 32601|34.2606663|-83.84819170000003
Eye Opener|Location is: Triangle Club|2|07:00:00|08:00:00|1005 SE 4th Avenue, Gainesville, GA 32601|34.2606663|-83.84819170000003
Eye Opener|Location is: Triangle Club|3|07:00:00|08:00:00|1005 SE 4th Avenue, Gainesville, GA 32601|34.2606663|-83.84819170000003
Eye Opener|Location is: Triangle Club|4|07:00:00|08:00:00|1005 SE 4th Avenue, Gainesville, GA 32601|34.2606663|-83.84819170000003
Eye Opener|Location is: Triangle Club|6|07:00:00|08:00:00|1005 SE 4th Avenue, Gainesville, GA 32601|34.2606663|-83.84819170000003
Eye Opener|Location is: Triangle Club|7|07:00:00|08:00:00|1005 SE 4th Avenue, Gainesville, GA 32601|34.2606663|-83.84819170000003
Eye Opener|Location is: Triangle Club|1|08:00:00|09:00:00|1005 SE 4th Avenue, Gainesville, GA 32601|34.2606663|-83.84819170000003
Living Sober|Location is: Triangle Club|1|09:15:00|10:15:00|1005 SE 4th Avenue, Gainesville, GA 32601|34.2606663|-83.84819170000003
New Life - Joy of Living|Location is: Triangle Club|1|10:30:00|11:30:00|1005 SE 4th Avenue, Gainesville, GA 32601|34.2606663|-83.84819170000003
New Life - Lunch Bunch|Location is: Triangle Club|4|12:30:00|13:30:00|1005 SE 4th Avenue, Gainesville, GA 32601|34.2606663|-83.84819170000003
New Life - Lunch Bunch|Location is: Triangle Club|5|12:30:00|13:30:00|1005 SE 4th Avenue, Gainesville, GA 32601|34.2606663|-83.84819170000003
New Life - Lunch Bunch|Location is: Triangle Club|2|12:30:00|13:30:00|1005 SE 4th Avenue, Gainesville, GA 32601|34.2606663|-83.84819170000003
New Life - Lunch Bunch|Location is: Triangle Club|3|12:30:00|13:30:00|1005 SE 4th Avenue, Gainesville, GA 32601|34.2606663|-83.84819170000003
New Life - Lunch Bunch|Location is: Triangle Club|6|12:30:00|13:30:00|1005 SE 4th Avenue, Gainesville, GA 32601|34.2606663|-83.84819170000003
New Life - Joy of Living|Location is: Triangle Club|7|12:30:00|13:30:00|1005 SE 4th Avenue, Gainesville, GA 32601|34.2606663|-83.84819170000003
Afternoon Reflections|Location is: Triangle Club|2|15:30:00|16:30:00|1005 SE 4th Avenue, Gainesville, GA 32601|34.2606663|-83.84819170000003
Tell it Like it is Men's Group|Location is: Triangle Club|4|17:30:00|18:30:00|1005 SE 4th Avenue, Gainesville, GA 32601|34.2606663|-83.84819170000003
Tell it Like it is Men's Group|Location is: Triangle Club|7|17:30:00|18:30:00|1005 SE 4th Avenue, Gainesville, GA 32601|34.2606663|-83.84819170000003
Gratitude Group|Location is: Triangle Club|3|17:30:00|18:30:00|1005 SE 4th Avenue, Gainesville, GA 32601|34.2606663|-83.84819170000003
Gratitude Group|Location is: Triangle Club|5|17:30:00|18:30:00|1005 SE 4th Avenue, Gainesville, GA 32601|34.2606663|-83.84819170000003
Gratitude Group|Location is: Triangle Club|2|17:30:00|18:30:00|1005 SE 4th Avenue, Gainesville, GA 32601|34.2606663|-83.84819170000003
Gratitude Group|Location is: Triangle Club|4|17:30:00|18:30:00|1005 SE 4th Avenue, Gainesville, GA 32601|34.2606663|-83.84819170000003
Gratitude Group|Location is: Triangle Club|6|17:30:00|18:30:00|1005 SE 4th Avenue, Gainesville, GA 32601|34.2606663|-83.84819170000003
Afternoon Reflections|Location is: Triangle Club|7|17:30:00|18:30:00|1005 SE 4th Avenue, Gainesville, GA 32601|34.2606663|-83.84819170000003
Afternoon Reflections|Location is: Triangle Club|1|17:30:00|18:30:00|1005 SE 4th Avenue, Gainesville, GA 32601|34.2606663|-83.84819170000003
Unity|Location is: Triangle Club|5|19:00:00|20:00:00|1005 SE 4th Avenue, Gainesville, GA 32601|34.2606663|-83.84819170000003
Unity|Location is: Triangle Club|1|19:00:00|20:00:00|1005 SE 4th Avenue, Gainesville, GA 32601|34.2606663|-83.84819170000003
Unity|Location is: Triangle Club|2|19:00:00|20:00:00|1005 SE 4th Avenue, Gainesville, GA 32601|34.2606663|-83.84819170000003
Unity|Location is: Triangle Club|3|19:00:00|20:00:00|1005 SE 4th Avenue, Gainesville, GA 32601|34.2606663|-83.84819170000003
Unity|Location is: Triangle Club|4|19:00:00|20:00:00|1005 SE 4th Avenue, Gainesville, GA 32601|34.2606663|-83.84819170000003
Unity|Location is: Triangle Club|6|19:00:00|20:00:00|1005 SE 4th Avenue, Gainesville, GA 32601|34.2606663|-83.84819170000003
Unity|Location is: Triangle Club|7|19:00:00|20:00:00|1005 SE 4th Avenue, Gainesville, GA 32601|34.2606663|-83.84819170000003
Downtown Group|Location is: Triangle Club|4|20:30:00|21:30:00|1005 SE 4th Avenue, Gainesville, GA 32601|34.2606663|-83.84819170000003
Downtown Group|Location is: Triangle Club|1|20:30:00|21:30:00|1005 SE 4th Avenue, Gainesville, GA 32601|34.2606663|-83.84819170000003
