FIRST PRESBYTERIAN CHURCH|Location is: FIRST PRESBYTERIAN CHURCH|7|19:30:00|20:30:00|207 N MILL ST, , MO  USA, AR 63028|36.1864126|-94.13046930000002
MURPHYSBORO GROUP|Location is: UNITED METHODIST CHURCH|7|10:00:00|11:00:00|1500 PINE STREET, MURPHYSBORO, AR 62966|34.0586156|-93.69271449999997
ZION UNITED CHURCH OF CHRIST|Location is: ZION UNITED CHURCH OF CHRIST|4|12:00:00|13:00:00|SPRINGFIELD AND WASHINGTON, UNION, AR 63084|35.6659549|-92.28974599999998
THE MEETING GROUP|Location is: Building |4|19:00:00|20:00:00|305 East Springfield Ave., union, AR 63084|35.252948|-92.5183869
Banana Bunch|Location is: 115 South Washington|4|12:00:00|13:00:00|115 S Washington Ave, Union, AR 63084|33.2117684|-92.66372530000001
110 A HIGH ST|Location is: 110 A HIGH ST|5|20:00:00|21:00:00|110 A HIGH ST, , MO  USA, AR 63090|36.0617496|-90.55192569999997
Sobriety & Beyond|Location is: Catholic Church|5|20:00:00|21:00:00|1024 Main St., Forest City, AR 39074|36.3349925|-93.42187230000002
TGIF|Location is: Watson Trails|6|19:00:00|20:00:00|12450 W Watson Rd, St Louis, AR 63127|34.5697988|-91.57015469999999
SOUTHMINSTER PRESBYTERIAN CHURCH|Location is: SOUTHMINSTER PRESBYTERIAN CHURCH|3|19:00:00|20:00:00|10126 EAST WATSON ROAD, CRESTWOOD, AR 63126|34.2074166|-92.04885919999998
FIRST BAPTIST CHURCH OF CRESTWOOD|Location is: FIRST BAPTIST CHURCH OF CRESTWOOD|6|19:30:00|20:30:00|9916 E WATSON ROAD, CRESTWOOD, AR 63126|34.2074166|-92.04885919999998
HARRIS HOUSE 3|Location is: HARRIS HOUSE|1|09:00:00|10:00:00|8327 BROADWAY, ST LOUIS, AR 63111|34.7685249|-92.24600500000003
HARRIS HOUSE 4|Location is: HARRIS HOUSE|1|18:00:00|19:00:00|8327 BROADWAY, ST LOUIS, AR 63111|34.7685249|-92.24600500000003
HARRIS HOUSE|Location is: HARRIS HOUSE|3|20:00:00|21:00:00|8327 BROADWAY, ST LOUIS, AR 63111|34.7685249|-92.24600500000003
HARRIS HOUSE 2|Location is: HARRIS HOUSE|6|12:30:00|13:30:00|8327 BROADWAY, ST LOUIS, AR 63111|34.7685249|-92.24600500000003
HARRIS HOUSE|Location is: HARRIS HOUSE|3|20:00:00|21:00:00|8315 S BROADWAY, ST LOUIS, AR 63111|34.7685249|-92.24600500000003
WATSON TERRACE CHURCH|Location is: WATSON TERRACE CHURCH|2|19:30:00|20:30:00|4205 WATSON ROAD, ST LOUIS, AR 63109|34.5697988|-91.57015469999999
WATSON TERRACE CHURCH|Location is: WATSON TERRACE CHURCH|5|19:00:00|20:00:00|4205 WATSON ROAD, ST LOUIS, AR 63109|34.5697988|-91.57015469999999
UNION UNITED METHODIST CHURCH|Location is: UNION UNITED METHODIST CHURCH|1|18:30:00|19:30:00|3543 WATSON ROAD, ST LOUIS, AR 63139|34.5697988|-91.57015469999999
ST ALEXIUS HEALTH CENTER|Location is: ST ALEXIUS HEALTH CENTER|3|19:30:00|20:30:00|3933 S BROADWAY, ST LOUIS, AR 63118|34.7685249|-92.24600500000003
ST ALEXIUS HEALTH CENTER|Location is: ST ALEXIUS HEALTH CENTER|6|20:00:00|21:00:00|3933 S BROADWAY, ST LOUIS, AR 63118|34.7685249|-92.24600500000003
ALANO CLUB 6|Location is: ALANO CLUB|1|09:00:00|10:00:00|3974 HUMPHREY, ST LOUIS, AR 63116|34.5697988|-91.57015469999999
ALANO CLUB 7|Location is: ALANO CLUB|1|16:00:00|17:00:00|3974 HUMPHREY, ST LOUIS, AR 63116|34.5697988|-91.57015469999999
ALANO CLUB|Location is: ALANO CLUB|2|07:00:00|08:00:00|3974 HUMPHREY, ST LOUIS, AR 63116|34.5697988|-91.57015469999999
ALANO CLUB 2|Location is: ALANO CLUB|2|12:00:00|13:00:00|3974 HUMPHREY, ST LOUIS, AR 63116|34.5697988|-91.57015469999999
ALANO CLUB 2|Location is: ALANO CLUB|4|12:00:00|13:00:00|3974 HUMPHREY, ST LOUIS, AR 63116|34.5697988|-91.57015469999999
ALANO CLUB 2|Location is: ALANO CLUB|6|12:00:00|13:00:00|3974 HUMPHREY, ST LOUIS, AR 63116|34.5697988|-91.57015469999999
ALANO CLUB 4|Location is: ALANO CLUB|6|18:00:00|19:00:00|3974 HUMPHREY, ST LOUIS, AR 63116|34.5697988|-91.57015469999999
ALANO CLUB 5|Location is: ALANO CLUB|7|10:30:00|11:30:00|3974 HUMPHREY, ST LOUIS, AR 63116|34.5697988|-91.57015469999999
TYLER PLACE CHURCH|Location is: TYLER PLACE CHURCH|1|20:00:00|21:00:00|2109 S SPRING AVE, ST LOUIS, AR 63110|34.5697988|-91.57015469999999
TYLER PLACE CHURCH|Location is: TYLER PLACE CHURCH|6|20:00:00|21:00:00|2109 S SPRING AVE, ST LOUIS, AR 63110|34.5697988|-91.57015469999999
ST MONICAS CHURCH|Location is: ST MONICAS CHURCH|4|19:00:00|20:00:00|12136 OLIVE BLVD, , MO  USA, AR 63141|36.3775638|-94.34728029999997
THE NOONER|Location is: KRUEGER MEDICAL BUILDING|3|12:00:00|13:00:00|206 JEFFERSON, FULTON, AR 65251|33.6161164|-93.81541290000001
TRINITY EPISCOPAL CHURCH|Location is: TRINITY EPISCOPAL CHURCH|7|16:00:00|17:00:00|600 N EUCLID, ST LOUIS, AR 63108|34.4904079|-93.05253500000003
ST AUGUSTINE’S CHURCH|Location is: ST AUGUSTINE’S CHURCH|2|19:30:00|20:30:00|1371 HAMILTON, ST LOUIS, AR 63112|34.4909495|-93.07488790000002
GATEWAY BIBLE FELLOWSHIP|Location is: GATEWAY BIBLE FELLOWSHIP|4|19:00:00|20:00:00|1311 N MARKET, ST LOUIS, AR 63106|34.7685249|-92.24600500000003
BY THE BOOK GROUP|Location is: 1st United Methodist Church|2|13:30:00|14:30:00|215 S. Main Street, Dickson, AR 37055|34.9116935|-91.10414500000002
BY THE BOOK GROUP|Location is: 1st United Methodist Church|5|13:30:00|14:30:00|215 S. Main Street, Dickson, AR 37055|34.9116935|-91.10414500000002
DICKSON GROUP 3|Location is: DAFA House|2|null|N/A|110 S Main St, Dickson, AR 37055|34.9116708|-91.10661600000003
SOLUTIONS GROUP|Location is: DAFA House|2|13:30:00|14:30:00|110 S Main St, Dickson, AR 37055|34.9116708|-91.10661600000003
DICKSON GROUP 2|Location is: DAFA House|2|13:30:00|14:30:00|110 S Main St, Dickson, AR 37055|34.9116708|-91.10661600000003
DICKSON GROUP|Location is: DAFA House|2|13:00:00|14:00:00|110 S Main St, Dickson, AR 37055|34.9116708|-91.10661600000003
DICKSON GROUP 3|Location is: DAFA House|3|null|N/A|110 S Main St, Dickson, AR 37055|34.9116708|-91.10661600000003
DICKSON WOMEN'S MEETING|Location is: DAFA House|3|13:00:00|14:00:00|110 S. Main St., Dickson, AR 37055|34.9116708|-91.10661600000003
DICKSON GROUP 2|Location is: DAFA House|3|13:30:00|14:30:00|110 S Main St, Dickson, AR 37055|34.9116708|-91.10661600000003
DICKSON GROUP|Location is: DAFA House|3|13:00:00|14:00:00|110 S Main St, Dickson, AR 37055|34.9116708|-91.10661600000003
DICKSON GROUP 3|Location is: DAFA House|4|null|N/A|110 S Main St, Dickson, AR 37055|34.9116708|-91.10661600000003
SOLUTIONS GROUP|Location is: DAFA House|4|13:30:00|14:30:00|110 S Main St, Dickson, AR 37055|34.9116708|-91.10661600000003
DICKSON GROUP|Location is: DAFA House|4|13:00:00|14:00:00|110 S Main St, Dickson, AR 37055|34.9116708|-91.10661600000003
DICKSON GROUP 3|Location is: DAFA House|5|null|N/A|110 S Main St, Dickson, AR 37055|34.9116708|-91.10661600000003
