BOJANGLES|Location is: YMCA|2|07:30:00|08:30:00|1420 SUMTER STREET, COLUMBIA, FL 29201|28.8750959|-81.98136649999998
BOJANGLES|Location is: YMCA|3|07:30:00|08:30:00|1420 SUMTER STREET, COLUMBIA, FL 29201|28.8750959|-81.98136649999998
BOJANGLES|Location is: YMCA|4|07:30:00|08:30:00|1420 SUMTER STREET, COLUMBIA, FL 29201|28.8750959|-81.98136649999998
BOJANGLES|Location is: YMCA|5|07:30:00|08:30:00|1420 SUMTER STREET, COLUMBIA, FL 29201|28.8750959|-81.98136649999998
BOJANGLES|Location is: YMCA|6|07:30:00|08:30:00|1420 SUMTER STREET, COLUMBIA, FL 29201|28.8750959|-81.98136649999998
PALMETTO|Location is: EBENEZER LUTHERAN CHURCH|1|19:00:00|20:00:00|1301 RICHLAND, COLUMBIA, FL 29201|29.2440733|-81.07092879999999
NORTH COLUMBIA|Location is: COLLEGE PLACE METHODIST CHURCH|3|20:00:00|21:00:00|4901 COLONIAL DRIVE, COLUMBIA, FL 29203|30.1528481|-82.66567750000002
NORTH COLUMBIA|Location is: COLLEGE PLACE METHODIST CHURCH|5|20:00:00|21:00:00|4901 COLONIAL DRIVE, COLUMBIA, FL 29203|30.1528481|-82.66567750000002
ATTITUDE ADJUSTMENT|Location is: COLLEGE PLACE METHODIST CHURCH|6|19:00:00|20:00:00|4901 COLONIAL DRIVE, COLUMBIA, FL 29203|30.1528481|-82.66567750000002
NORTH COLUMBIA|Location is: COLLEGE PLACE METHODIST CHURCH|7|20:00:00|21:00:00|4901 COLONIAL DRIVE, COLUMBIA, FL 29203|30.1528481|-82.66567750000002
IRMO|Location is: MCGREGOR PRESBYTERIAN CHURCH|4|18:00:00|19:00:00|6505 ST ANDREWS ROAD, COLUMBIA, FL 29212|30.2906533|-85.6501419
The Riverdale Group|Location is: First Baptist Church-Riverdale|6|20:30:00|21:30:00|6805 Church St, riverdale, FL 30274|26.5180698|-81.92695850000001
The Riverdale Group|Location is: First Baptist Church-Riverdale|4|20:30:00|21:30:00|6805 Church St, riverdale, FL 30274|26.5180698|-81.92695850000001
The Riverdale Group|Location is: First Baptist Church-Riverdalw|3|20:30:00|21:30:00|6805 Church St, riverdale, FL 30274|26.5180698|-81.92695850000001
