Phoenix Group|Location is: Phoenix Group|6|19:30:00|20:30:00|123 N Sycamore, WICHITA, TX 67203|33.5944014|-98.62486109999998
Phoenix Group|Location is: Phoenix Group|2|19:30:00|20:30:00|123 N Sycamore, WICHITA, TX 67203|33.5944014|-98.62486109999998
Phoenix Group 3|Location is: Phoenix Group|7|18:00:00|19:00:00|123 N Sycamore, WICHITA, TX 67203|33.5944014|-98.62486109999998
Phoenix Group|Location is: Phoenix Group|7|19:30:00|20:30:00|123 N Sycamore, WICHITA, TX 67203|33.5944014|-98.62486109999998
Phoenix Group 4|Location is: Phoenix Group|1|11:00:00|12:00:00|123 N Sycamore, WICHITA, TX 67203|33.5944014|-98.62486109999998
Phoenix Group 3|Location is: Phoenix Group|1|18:00:00|19:00:00|123 N Sycamore, WICHITA, TX 67203|33.5944014|-98.62486109999998
Phoenix Group|Location is: Phoenix Group|5|19:30:00|20:30:00|123 N Sycamore, WICHITA, TX 67203|33.5944014|-98.62486109999998
Phoenix Group|Location is: Phoenix Group|3|19:30:00|20:30:00|123 N Sycamore, WICHITA, TX 67203|33.5944014|-98.62486109999998
Phoenix Group 2|Location is: Phoenix Group|4|19:00:00|20:00:00|123 N Sycamore, WICHITA, TX 67203|33.5944014|-98.62486109999998
New Life Group 6|Location is: New Life Group|6|00:00:00|01:00:00|1611 S Roanoke, WICHITA, TX 67218|33.9420728|-98.51684560000001
New Life Group 2|Location is: New Life Group|6|12:00:00|13:00:00|1611 S Roanoke, WICHITA, TX 67218|33.9420728|-98.51684560000001
New Life Group 3|Location is: New Life Group|6|17:30:00|18:30:00|1611 S Roanoke, WICHITA, TX 67218|33.9420728|-98.51684560000001
New Life Group 4|Location is: New Life Group|6|20:00:00|21:00:00|1611 S Roanoke, WICHITA, TX 67218|33.9420728|-98.51684560000001
New Life Group 5|Location is: New Life Group|6|20:30:00|21:30:00|1611 S Roanoke, WICHITA, TX 67218|33.9420728|-98.51684560000001
New Life Group|Location is: New Life Group|2|08:30:00|09:30:00|1611 S Roanoke, WICHITA, TX 67218|33.9420728|-98.51684560000001
New Life Group 2|Location is: New Life Group|2|12:00:00|13:00:00|1611 S Roanoke, WICHITA, TX 67218|33.9420728|-98.51684560000001
New Life Group 3|Location is: New Life Group|2|17:30:00|18:30:00|1611 S Roanoke, WICHITA, TX 67218|33.9420728|-98.51684560000001
New Life Group 4|Location is: New Life Group|2|20:00:00|21:00:00|1611 S Roanoke, WICHITA, TX 67218|33.9420728|-98.51684560000001
New Life Group 5|Location is: New Life Group|2|20:30:00|21:30:00|1611 S Roanoke, WICHITA, TX 67218|33.9420728|-98.51684560000001
New Life Group 6|Location is: New Life Group|7|00:00:00|01:00:00|1611 S Roanoke, WICHITA, TX 67218|33.9420728|-98.51684560000001
New Life Group|Location is: New Life Group|7|08:30:00|09:30:00|1611 S Roanoke, WICHITA, TX 67218|33.9420728|-98.51684560000001
New Life Group 2|Location is: New Life Group|7|12:00:00|13:00:00|1611 S Roanoke, WICHITA, TX 67218|33.9420728|-98.51684560000001
New Life Group 3|Location is: New Life Group|7|17:30:00|18:30:00|1611 S Roanoke, WICHITA, TX 67218|33.9420728|-98.51684560000001
New Life Group 4|Location is: New Life Group|7|20:00:00|21:00:00|1611 S Roanoke, WICHITA, TX 67218|33.9420728|-98.51684560000001
New Life Group 7|Location is: New Life Group|1|11:00:00|12:00:00|1611 S Roanoke, WICHITA, TX 67218|33.9420728|-98.51684560000001
New Life Group 8|Location is: New Life Group|1|13:30:00|14:30:00|1611 S Roanoke, WICHITA, TX 67218|33.9420728|-98.51684560000001
New Life Group 9|Location is: New Life Group|1|15:30:00|16:30:00|1611 S Roanoke, WICHITA, TX 67218|33.9420728|-98.51684560000001
New Life Group 10|Location is: New Life Group|1|18:00:00|19:00:00|1611 S Roanoke, WICHITA, TX 67218|33.9420728|-98.51684560000001
New Life Group 4|Location is: New Life Group|1|20:00:00|21:00:00|1611 S Roanoke, WICHITA, TX 67218|33.9420728|-98.51684560000001
New Life Group 5|Location is: New Life Group|1|20:30:00|21:30:00|1611 S Roanoke, WICHITA, TX 67218|33.9420728|-98.51684560000001
New Life Group 2|Location is: New Life Group|5|12:00:00|13:00:00|1611 S Roanoke, WICHITA, TX 67218|33.9420728|-98.51684560000001
New Life Group 3|Location is: New Life Group|5|17:30:00|18:30:00|1611 S Roanoke, WICHITA, TX 67218|33.9420728|-98.51684560000001
New Life Group 4|Location is: New Life Group|5|20:00:00|21:00:00|1611 S Roanoke, WICHITA, TX 67218|33.9420728|-98.51684560000001
New Life Group 5|Location is: New Life Group|5|20:30:00|21:30:00|1611 S Roanoke, WICHITA, TX 67218|33.9420728|-98.51684560000001
New Life Group|Location is: New Life Group|3|08:30:00|09:30:00|1611 S Roanoke, WICHITA, TX 67218|33.9420728|-98.51684560000001
New Life Group 2|Location is: New Life Group|3|12:00:00|13:00:00|1611 S Roanoke, WICHITA, TX 67218|33.9420728|-98.51684560000001
New Life Group 3|Location is: New Life Group|3|17:30:00|18:30:00|1611 S Roanoke, WICHITA, TX 67218|33.9420728|-98.51684560000001
New Life Group 4|Location is: New Life Group|3|20:00:00|21:00:00|1611 S Roanoke, WICHITA, TX 67218|33.9420728|-98.51684560000001
New Life Group 5|Location is: New Life Group|3|20:30:00|21:30:00|1611 S Roanoke, WICHITA, TX 67218|33.9420728|-98.51684560000001
New Life Group|Location is: New Life Group|4|08:30:00|09:30:00|1611 S Roanoke, WICHITA, TX 67218|33.9420728|-98.51684560000001
New Life Group 2|Location is: New Life Group|4|12:00:00|13:00:00|1611 S Roanoke, WICHITA, TX 67218|33.9420728|-98.51684560000001
New Life Group 3|Location is: New Life Group|4|17:30:00|18:30:00|1611 S Roanoke, WICHITA, TX 67218|33.9420728|-98.51684560000001
New Life Group 4|Location is: New Life Group|4|20:00:00|21:00:00|1611 S Roanoke, WICHITA, TX 67218|33.9420728|-98.51684560000001
New Life Group 5|Location is: New Life Group|4|20:30:00|21:30:00|1611 S Roanoke, WICHITA, TX 67218|33.9420728|-98.51684560000001
Early Bird Group|Location is: Early Bird Group|6|08:00:00|09:00:00|901 E 3rd, WICHITA, TX 67202|34.0992561|-98.55853960000002
Early Bird Group|Location is: Early Bird Group|2|08:00:00|09:00:00|901 E 3rd, WICHITA, TX 67202|34.0992561|-98.55853960000002
Strange as it May Seem Group|Location is: Early Bird Group|2|19:00:00|20:00:00|901 E 3rd, WICHITA, TX 67202|34.0992561|-98.55853960000002
