Altrincham &#39;come & go&#39;|Location is: Unitarian Church|6|11:30:00|12:30:00|Sylvan Grove/Dunham Road, manchester, KS |39.0936111|-97.32138889999999
U.I.R. Group|Location is: U.I.R. Group|6|08:00:00|09:00:00|1206 E Waterman, WICHITA, KS 67211|37.68286|-97.32278500000001
U.I.R. Group 2|Location is: U.I.R. Group|6|09:45:00|10:45:00|1206 E Waterman, WICHITA, KS 67211|37.68286|-97.32278500000001
U.I.R. Group 3|Location is: U.I.R. Group|6|12:00:00|13:00:00|1206 E Waterman, WICHITA, KS 67211|37.68286|-97.32278500000001
U.I.R. Group 5|Location is: U.I.R. Group|6|18:00:00|19:00:00|1206 E Waterman, WICHITA, KS 67211|37.68286|-97.32278500000001
U.I.R. Group 4|Location is: U.I.R. Group|6|20:00:00|21:00:00|1206 E Waterman, WICHITA, KS 67211|37.68286|-97.32278500000001
U.I.R. Group|Location is: U.I.R. Group|2|08:00:00|09:00:00|1206 E Waterman, WICHITA, KS 67211|37.68286|-97.32278500000001
U.I.R. Group 2|Location is: U.I.R. Group|2|09:45:00|10:45:00|1206 E Waterman, WICHITA, KS 67211|37.68286|-97.32278500000001
U.I.R. Group 3|Location is: U.I.R. Group|2|12:00:00|13:00:00|1206 E Waterman, WICHITA, KS 67211|37.68286|-97.32278500000001
U.I.R. Group 4|Location is: U.I.R. Group|2|20:00:00|21:00:00|1206 E Waterman, WICHITA, KS 67211|37.68286|-97.32278500000001
U.I.R. Group|Location is: U.I.R. Group|7|08:00:00|09:00:00|1206 E Waterman, WICHITA, KS 67211|37.68286|-97.32278500000001
U.I.R. Group 2|Location is: U.I.R. Group|7|09:45:00|10:45:00|1206 E Waterman, WICHITA, KS 67211|37.68286|-97.32278500000001
U.I.R. Group 3|Location is: U.I.R. Group|7|12:00:00|13:00:00|1206 E Waterman, WICHITA, KS 67211|37.68286|-97.32278500000001
U.I.R. Group 5|Location is: U.I.R. Group|7|18:00:00|19:00:00|1206 E Waterman, WICHITA, KS 67211|37.68286|-97.32278500000001
U.I.R. Group 4|Location is: U.I.R. Group|7|20:00:00|21:00:00|1206 E Waterman, WICHITA, KS 67211|37.68286|-97.32278500000001
U.I.R. Group|Location is: U.I.R. Group|1|08:00:00|09:00:00|1206 E Waterman, WICHITA, KS 67211|37.68286|-97.32278500000001
U.I.R. Group 2|Location is: U.I.R. Group|1|09:45:00|10:45:00|1206 E Waterman, WICHITA, KS 67211|37.68286|-97.32278500000001
U.I.R. Group 5|Location is: U.I.R. Group|1|18:00:00|19:00:00|1206 E Waterman, WICHITA, KS 67211|37.68286|-97.32278500000001
U.I.R. Group 4|Location is: U.I.R. Group|1|20:00:00|21:00:00|1206 E Waterman, WICHITA, KS 67211|37.68286|-97.32278500000001
U.I.R. Group|Location is: U.I.R. Group|5|08:00:00|09:00:00|1206 E Waterman, WICHITA, KS 67211|37.68286|-97.32278500000001
U.I.R. Group 2|Location is: U.I.R. Group|5|09:45:00|10:45:00|1206 E Waterman, WICHITA, KS 67211|37.68286|-97.32278500000001
U.I.R. Group 3|Location is: U.I.R. Group|5|12:00:00|13:00:00|1206 E Waterman, WICHITA, KS 67211|37.68286|-97.32278500000001
U.I.R. Group 5|Location is: U.I.R. Group|5|18:00:00|19:00:00|1206 E Waterman, WICHITA, KS 67211|37.68286|-97.32278500000001
U.I.R. Group 4|Location is: U.I.R. Group|5|20:00:00|21:00:00|1206 E Waterman, WICHITA, KS 67211|37.68286|-97.32278500000001
U.I.R. Group|Location is: U.I.R. Group|3|08:00:00|09:00:00|1206 E Waterman, WICHITA, KS 67211|37.68286|-97.32278500000001
U.I.R. Group 2|Location is: U.I.R. Group|3|09:45:00|10:45:00|1206 E Waterman, WICHITA, KS 67211|37.68286|-97.32278500000001
U.I.R. Group 3|Location is: U.I.R. Group|3|12:00:00|13:00:00|1206 E Waterman, WICHITA, KS 67211|37.68286|-97.32278500000001
U.I.R. Group 5|Location is: U.I.R. Group|3|18:00:00|19:00:00|1206 E Waterman, WICHITA, KS 67211|37.68286|-97.32278500000001
U.I.R. Group 4|Location is: U.I.R. Group|3|20:00:00|21:00:00|1206 E Waterman, WICHITA, KS 67211|37.68286|-97.32278500000001
U.I.R. Group|Location is: U.I.R. Group|4|08:00:00|09:00:00|1206 E Waterman, WICHITA, KS 67211|37.68286|-97.32278500000001
U.I.R. Group 2|Location is: U.I.R. Group|4|09:45:00|10:45:00|1206 E Waterman, WICHITA, KS 67211|37.68286|-97.32278500000001
U.I.R. Group 3|Location is: U.I.R. Group|4|12:00:00|13:00:00|1206 E Waterman, WICHITA, KS 67211|37.68286|-97.32278500000001
U.I.R. Group 5|Location is: U.I.R. Group|4|18:00:00|19:00:00|1206 E Waterman, WICHITA, KS 67211|37.68286|-97.32278500000001
U.I.R. Group 4|Location is: U.I.R. Group|4|20:00:00|21:00:00|1206 E Waterman, WICHITA, KS 67211|37.68286|-97.32278500000001
Metropolitan Group|Location is: Metropolitan Group|6|12:00:00|13:00:00|140 S Hydraulic, WICHITA, KS 67211|37.684637|-97.31696099999999
Metropolitan Group 2|Location is: Metropolitan Group|6|17:30:00|18:30:00|140 S Hydraulic, WICHITA, KS 67211|37.684637|-97.31696099999999
Metropolitan Group 3|Location is: Metropolitan Group|6|20:00:00|21:00:00|140 S Hydraulic, WICHITA, KS 67211|37.684637|-97.31696099999999
Metropolitan Group|Location is: Metropolitan Group|2|12:00:00|13:00:00|140 S Hydraulic, WICHITA, KS 67211|37.684637|-97.31696099999999
Metropolitan Group 2|Location is: Metropolitan Group|2|17:30:00|18:30:00|140 S Hydraulic, WICHITA, KS 67211|37.684637|-97.31696099999999
Metropolitan Group 3|Location is: Metropolitan Group|2|20:00:00|21:00:00|140 S Hydraulic, WICHITA, KS 67211|37.684637|-97.31696099999999
Metropolitan Group|Location is: Metropolitan Group|7|12:00:00|13:00:00|140 S Hydraulic, WICHITA, KS 67211|37.684637|-97.31696099999999
Metropolitan Group 2|Location is: Metropolitan Group|7|17:30:00|18:30:00|140 S Hydraulic, WICHITA, KS 67211|37.684637|-97.31696099999999
Metropolitan Group 3|Location is: Metropolitan Group|7|20:00:00|21:00:00|140 S Hydraulic, WICHITA, KS 67211|37.684637|-97.31696099999999
Erie Sunrise Group|Location is: Metropolitan Group|1|08:00:00|09:00:00|140 S Hydraulic, WICHITA, KS 67211|37.684637|-97.31696099999999
Metropolitan Group 4|Location is: Metropolitan Group|1|11:00:00|12:00:00|140 S Hydraulic, WICHITA, KS 67211|37.684637|-97.31696099999999
Metropolitan Group 2|Location is: Metropolitan Group|1|17:30:00|18:30:00|140 S Hydraulic, WICHITA, KS 67211|37.684637|-97.31696099999999
Metropolitan Group 3|Location is: Metropolitan Group|1|20:00:00|21:00:00|140 S Hydraulic, WICHITA, KS 67211|37.684637|-97.31696099999999
Metropolitan Group|Location is: Metropolitan Group|5|12:00:00|13:00:00|140 S Hydraulic, WICHITA, KS 67211|37.684637|-97.31696099999999
Metropolitan Group 2|Location is: Metropolitan Group|5|17:30:00|18:30:00|140 S Hydraulic, WICHITA, KS 67211|37.684637|-97.31696099999999
Metropolitan Group 3|Location is: Metropolitan Group|5|20:00:00|21:00:00|140 S Hydraulic, WICHITA, KS 67211|37.684637|-97.31696099999999
Metropolitan Group|Location is: Metropolitan Group|3|12:00:00|13:00:00|140 S Hydraulic, WICHITA, KS 67211|37.684637|-97.31696099999999
Metropolitan Group 2|Location is: Metropolitan Group|3|17:30:00|18:30:00|140 S Hydraulic, WICHITA, KS 67211|37.684637|-97.31696099999999
Metropolitan Group 3|Location is: Metropolitan Group|3|20:00:00|21:00:00|140 S Hydraulic, WICHITA, KS 67211|37.684637|-97.31696099999999
Metropolitan Group|Location is: Metropolitan Group|4|12:00:00|13:00:00|140 S Hydraulic, WICHITA, KS 67211|37.684637|-97.31696099999999
Metropolitan Group 2|Location is: Metropolitan Group|4|17:30:00|18:30:00|140 S Hydraulic, WICHITA, KS 67211|37.684637|-97.31696099999999
Metropolitan Group 3|Location is: Metropolitan Group|4|20:00:00|21:00:00|140 S Hydraulic, WICHITA, KS 67211|37.684637|-97.31696099999999
Erie Sunrise Group|Location is: Erie Sunrise Group|6|08:00:00|09:00:00|120 N Ash, WICHITA, KS 67214|37.687043|-97.311644
Eleventh Step Group|Location is: Erie Sunrise Group|6|17:30:00|18:30:00|120 N Ash, WICHITA, KS 67214|37.687043|-97.311644
Erie Sunrise Group|Location is: Erie Sunrise Group|2|08:00:00|09:00:00|120 N Ash, WICHITA, KS 67214|37.687043|-97.311644
Erie Men's Group|Location is: Erie Sunrise Group|2|20:00:00|21:00:00|120 N Ash, WICHITA, KS 67214|37.687043|-97.311644
Erie Sunrise Group|Location is: Erie Sunrise Group|7|08:00:00|09:00:00|120 N Ash, WICHITA, KS 67214|37.687043|-97.311644
Sat. Morning Woman's Group|Location is: Erie Sunrise Group|7|10:30:00|11:30:00|120 N Ash, WICHITA, KS 67214|37.687043|-97.311644
Eleventh Step Group|Location is: Erie Sunrise Group|1|17:30:00|18:30:00|120 N Ash, WICHITA, KS 67214|37.687043|-97.311644
Erie Sunrise Group|Location is: Erie Sunrise Group|5|08:00:00|09:00:00|120 N Ash, WICHITA, KS 67214|37.687043|-97.311644
Erie Men's Group|Location is: Erie Sunrise Group|5|20:00:00|21:00:00|120 N Ash, WICHITA, KS 67214|37.687043|-97.311644
Erie Sunrise Group|Location is: Erie Sunrise Group|3|08:00:00|09:00:00|120 N Ash, WICHITA, KS 67214|37.687043|-97.311644
Eleventh Step Group|Location is: Erie Sunrise Group|3|17:30:00|18:30:00|120 N Ash, WICHITA, KS 67214|37.687043|-97.311644
Erie Men's Group|Location is: Erie Sunrise Group|3|20:00:00|21:00:00|120 N Ash, WICHITA, KS 67214|37.687043|-97.311644
Erie Sunrise Group|Location is: Erie Sunrise Group|4|08:00:00|09:00:00|120 N Ash, WICHITA, KS 67214|37.687043|-97.311644
Eye Opener Group|Location is: Eye Opener Group|6|08:00:00|09:00:00|1606 E Waterman, WICHITA, KS 67211|37.68270529999999|-97.31816509999999
Eye Opener Group|Location is: Eye Opener Group|2|08:00:00|09:00:00|1606 E Waterman, WICHITA, KS 67211|37.68270529999999|-97.31816509999999
Eye Opener Group|Location is: Eye Opener Group|7|08:00:00|09:00:00|1606 E Waterman, WICHITA, KS 67211|37.68270529999999|-97.31816509999999
Eye Opener Group|Location is: Eye Opener Group|1|08:00:00|09:00:00|1606 E Waterman, WICHITA, KS 67211|37.68270529999999|-97.31816509999999
Eye Opener Group|Location is: Eye Opener Group|5|08:00:00|09:00:00|1606 E Waterman, WICHITA, KS 67211|37.68270529999999|-97.31816509999999
Eye Opener Group|Location is: Eye Opener Group|3|08:00:00|09:00:00|1606 E Waterman, WICHITA, KS 67211|37.68270529999999|-97.31816509999999
Eye Opener Group|Location is: Eye Opener Group|4|08:00:00|09:00:00|1606 E Waterman, WICHITA, KS 67211|37.68270529999999|-97.31816509999999
A Radical Change Young Peoples Group|Location is: A Radical Change Young Peoples Group|2|18:00:00|19:00:00|2812 E English, WICHITA, KS 67211|37.6846043|-97.30304660000002
Grand Group|Location is: Grand Group|2|20:30:00|21:30:00|2812 E English ( Central Office), WICHITA, KS 67211|37.6846043|-97.30304660000002
A Radical Change Young Peoples Group|Location is: A Radical Change Young Peoples Group|7|18:00:00|19:00:00|2812 E English, WICHITA, KS 67211|37.6846043|-97.30304660000002
A Radical Change Young Peoples Group|Location is: A Radical Change Young Peoples Group|5|18:00:00|19:00:00|2812 E English, WICHITA, KS 67211|37.6846043|-97.30304660000002
Broadview Group|Location is: Broadview Group|5|19:00:00|20:00:00|240 N Broadview, WICHITA, KS 67208|37.6893055|-97.28743980000002
INFORMED|Location is: St. Dominic`s Rectory|2|00:00:00|01:00:00|630 E St., Southwest, KS 67213|37.6764394|-97.37365720000003
LIFESAVER BIG BOOK|Location is: St. Dominic`s|3|00:00:00|01:00:00|630 E St, Southwest, KS 67213|37.6764394|-97.37365720000003
NEW BEGINNERS|Location is: St. Dominic`s|4|00:00:00|01:00:00|630 E St, Southwest, KS 67213|37.6764394|-97.37365720000003
OUT TO LUNCH|Location is: St. Dominic`s Rectory|5|00:00:00|01:00:00|630 E St., Southwest, KS 67213|37.6764394|-97.37365720000003
T.G.I.F.|Location is: St. Dominic`s Rectory|6|00:00:00|01:00:00|630 E St., Southwest, KS 67213|37.6764394|-97.37365720000003
Northrock Group|Location is: Northrock Group|1|14:00:00|15:00:00|7404 Killarney, WICHITA, KS 67206|37.700055|-97.25126399999999
Parklane Group|Location is: Parklane Group|3|12:00:00|13:00:00|Harry & Oliver, WICHITA, KS |37.6647105|-97.28050530000002
Parlane AA|Location is: Harry and Oliver|4|12:00:00|13:00:00|Wichita Ks., wichita, KS 67218|37.66373189999999|-97.28147179999996
New Life Group 6|Location is: New Life Group|6|00:00:00|01:00:00|1611 S Roanoke, WICHITA, KS 67218|37.6642719|-97.27047800000003
New Life Group 2|Location is: New Life Group|6|12:00:00|13:00:00|1611 S Roanoke, WICHITA, KS 67218|37.6642719|-97.27047800000003
New Life Group 3|Location is: New Life Group|6|17:30:00|18:30:00|1611 S Roanoke, WICHITA, KS 67218|37.6642719|-97.27047800000003
New Life Group 4|Location is: New Life Group|6|20:00:00|21:00:00|1611 S Roanoke, WICHITA, KS 67218|37.6642719|-97.27047800000003
New Life Group 5|Location is: New Life Group|6|20:30:00|21:30:00|1611 S Roanoke, WICHITA, KS 67218|37.6642719|-97.27047800000003
New Life Group|Location is: New Life Group|2|08:30:00|09:30:00|1611 S Roanoke, WICHITA, KS 67218|37.6642719|-97.27047800000003
New Life Group 2|Location is: New Life Group|2|12:00:00|13:00:00|1611 S Roanoke, WICHITA, KS 67218|37.6642719|-97.27047800000003
New Life Group 3|Location is: New Life Group|2|17:30:00|18:30:00|1611 S Roanoke, WICHITA, KS 67218|37.6642719|-97.27047800000003
New Life Group 4|Location is: New Life Group|2|20:00:00|21:00:00|1611 S Roanoke, WICHITA, KS 67218|37.6642719|-97.27047800000003
New Life Group 5|Location is: New Life Group|2|20:30:00|21:30:00|1611 S Roanoke, WICHITA, KS 67218|37.6642719|-97.27047800000003
New Life Group 6|Location is: New Life Group|7|00:00:00|01:00:00|1611 S Roanoke, WICHITA, KS 67218|37.6642719|-97.27047800000003
New Life Group|Location is: New Life Group|7|08:30:00|09:30:00|1611 S Roanoke, WICHITA, KS 67218|37.6642719|-97.27047800000003
New Life Group 2|Location is: New Life Group|7|12:00:00|13:00:00|1611 S Roanoke, WICHITA, KS 67218|37.6642719|-97.27047800000003
New Life Group 3|Location is: New Life Group|7|17:30:00|18:30:00|1611 S Roanoke, WICHITA, KS 67218|37.6642719|-97.27047800000003
New Life Group 4|Location is: New Life Group|7|20:00:00|21:00:00|1611 S Roanoke, WICHITA, KS 67218|37.6642719|-97.27047800000003
New Life Group 7|Location is: New Life Group|1|11:00:00|12:00:00|1611 S Roanoke, WICHITA, KS 67218|37.6642719|-97.27047800000003
New Life Group 8|Location is: New Life Group|1|13:30:00|14:30:00|1611 S Roanoke, WICHITA, KS 67218|37.6642719|-97.27047800000003
New Life Group 9|Location is: New Life Group|1|15:30:00|16:30:00|1611 S Roanoke, WICHITA, KS 67218|37.6642719|-97.27047800000003
New Life Group 10|Location is: New Life Group|1|18:00:00|19:00:00|1611 S Roanoke, WICHITA, KS 67218|37.6642719|-97.27047800000003
New Life Group 4|Location is: New Life Group|1|20:00:00|21:00:00|1611 S Roanoke, WICHITA, KS 67218|37.6642719|-97.27047800000003
New Life Group 5|Location is: New Life Group|1|20:30:00|21:30:00|1611 S Roanoke, WICHITA, KS 67218|37.6642719|-97.27047800000003
New Life Group 2|Location is: New Life Group|5|12:00:00|13:00:00|1611 S Roanoke, WICHITA, KS 67218|37.6642719|-97.27047800000003
New Life Group 3|Location is: New Life Group|5|17:30:00|18:30:00|1611 S Roanoke, WICHITA, KS 67218|37.6642719|-97.27047800000003
New Life Group 4|Location is: New Life Group|5|20:00:00|21:00:00|1611 S Roanoke, WICHITA, KS 67218|37.6642719|-97.27047800000003
New Life Group 5|Location is: New Life Group|5|20:30:00|21:30:00|1611 S Roanoke, WICHITA, KS 67218|37.6642719|-97.27047800000003
New Life Group|Location is: New Life Group|3|08:30:00|09:30:00|1611 S Roanoke, WICHITA, KS 67218|37.6642719|-97.27047800000003
New Life Group 2|Location is: New Life Group|3|12:00:00|13:00:00|1611 S Roanoke, WICHITA, KS 67218|37.6642719|-97.27047800000003
New Life Group 3|Location is: New Life Group|3|17:30:00|18:30:00|1611 S Roanoke, WICHITA, KS 67218|37.6642719|-97.27047800000003
New Life Group 4|Location is: New Life Group|3|20:00:00|21:00:00|1611 S Roanoke, WICHITA, KS 67218|37.6642719|-97.27047800000003
New Life Group 5|Location is: New Life Group|3|20:30:00|21:30:00|1611 S Roanoke, WICHITA, KS 67218|37.6642719|-97.27047800000003
New Life Group|Location is: New Life Group|4|08:30:00|09:30:00|1611 S Roanoke, WICHITA, KS 67218|37.6642719|-97.27047800000003
New Life Group 2|Location is: New Life Group|4|12:00:00|13:00:00|1611 S Roanoke, WICHITA, KS 67218|37.6642719|-97.27047800000003
New Life Group 3|Location is: New Life Group|4|17:30:00|18:30:00|1611 S Roanoke, WICHITA, KS 67218|37.6642719|-97.27047800000003
New Life Group 4|Location is: New Life Group|4|20:00:00|21:00:00|1611 S Roanoke, WICHITA, KS 67218|37.6642719|-97.27047800000003
New Life Group 5|Location is: New Life Group|4|20:30:00|21:30:00|1611 S Roanoke, WICHITA, KS 67218|37.6642719|-97.27047800000003
Eastside Group|Location is: Eastside Group|6|17:30:00|18:30:00|11208 E Lewis, WICHITA, KS 67207|37.681481|-97.20732299999997
Eastside|Location is: Eastside Group|6|20:00:00|21:00:00|11208 E Lewis, WICHITA, KS 67207|37.681481|-97.20732299999997
Eastside Group|Location is: Eastside Group|2|17:30:00|18:30:00|11208 E Lewis, WICHITA, KS 67207|37.681481|-97.20732299999997
Eastside Group 2|Location is: Eastside Group|2|20:00:00|21:00:00|11208 E Lewis, WICHITA, KS 67207|37.681481|-97.20732299999997
Eastside Group 3|Location is: Eastside Group|7|09:30:00|10:30:00|11208 E Lewis, WICHITA, KS 67207|37.681481|-97.20732299999997
Eastside Group|Location is: Eastside Group|7|17:30:00|18:30:00|11208 E Lewis, WICHITA, KS 67207|37.681481|-97.20732299999997
Eastside Group 4|Location is: Eastside Group|1|11:00:00|12:00:00|11208 E Lewis, WICHITA, KS 67207|37.681481|-97.20732299999997
Eastside Group 2|Location is: Eastside Group|1|20:00:00|21:00:00|11208 E Lewis, WICHITA, KS 67207|37.681481|-97.20732299999997
Eastside Group|Location is: Eastside Group|5|17:30:00|18:30:00|11208 E Lewis, WICHITA, KS 67207|37.681481|-97.20732299999997
Eastside Group|Location is: Eastside Group|3|17:30:00|18:30:00|11208 E Lewis, WICHITA, KS 67207|37.681481|-97.20732299999997
Eastside Group 2|Location is: Eastside Group|3|20:00:00|21:00:00|11208 E Lewis, WICHITA, KS 67207|37.681481|-97.20732299999997
Eastside Group|Location is: Eastside Group|4|17:30:00|18:30:00|11208 E Lewis, WICHITA, KS 67207|37.681481|-97.20732299999997
Eastside Group 2|Location is: Eastside Group|4|20:00:00|21:00:00|11208 E Lewis, WICHITA, KS 67207|37.681481|-97.20732299999997
Oaklawn Primary Purpose Group|Location is: Oaklawn Primary Purpose Group|1|19:30:00|20:30:00|2937 Oaklawn Drive, WICHITA, KS 67216|37.600777|-97.30013199999996
Oaklawn Primary Purpose Group|Location is: Oaklawn Primary Purpose Group|4|19:00:00|20:00:00|2937 Oaklawn Dr., WICHITA, KS 67216|37.600777|-97.30013199999996
Tuesday Night|Location is: Masonic Hall|3|20:00:00|21:00:00|519 Lincoln St, Wamego, KS 66547|39.202868|-96.30530099999999
Foxhall|Location is: Masonic Hall|5|20:00:00|21:00:00|519 Lincoln St, Wamego, KS 66547|39.202868|-96.30530099999999
ANDOVER SHARE OUR SOBRIETY (SOS) GROUP|Location is: CONGREGATIONAL CHURCH|4|19:30:00|20:30:00|ROUTE 120, ANDOVER, KS 67002|37.6503295|-97.11704950000001
Against All Odds|Location is: upstairs|2|20:00:00|21:00:00|501 1/2 2nd , dodge_city, KS 67801|37.7528026|-100.01924689999998
Oberlin AA|Location is: Ambulance Barn|4|20:00:00|21:00:00|606 West Caldron, oberlin, KS |39.81833839999999|-100.52820099999997
Mulvane AA Group|Location is: Mulvane|5|20:00:00|21:00:00|812 Charles, mulvane, KS 67110|37.4818911|-97.24011209999998
AURORA FRIENDLY|Location is: Hope Lutheran Church|7|20:30:00|21:30:00|456 So. Chillicothe Rd. St. R, Aurora, KS |39.4521046|-97.5324597
Prince of Peace Step Study|Location is: Prince of Peace Step Study|3|19:15:00|20:15:00|3625 SW Wanamaker Rd, Topeka, KS 66614|39.001078|-95.76320399999997
By the Book Group|Location is: Prince of Peace Lutheran Church|5|19:15:00|20:15:00|3625 SW Wanamaker Rd., Topeka, KS 66614|39.001078|-95.76320399999997
Heartland Group|Location is: Prince of Peace Lutheran Church|1|18:30:00|19:30:00|3625 SW Wanamaker Rd., Topeka, KS 66614|39.001078|-95.76320399999997
Noon Reflections Group|Location is: Coyote Canyon|2|00:00:00|01:00:00|Huntoon & Wanamaker, Topeka, KS 66604|39.0433153|-95.76152710000002
Noon Reflections Group|Location is: Coyote Canyon|4|00:00:00|01:00:00|Huntoon & Wanamaker, Topeka, KS 66604|39.0433153|-95.76152710000002
Noon Reflections|Location is: Coyote Canyon|6|00:00:00|01:00:00|Huntoon & Wanamaker, Topeka, KS 66604|39.0433153|-95.76152710000002
The 1100 Group|Location is: The 1100 Group|2|00:00:00|01:00:00|1100 SW Wanamaker, Topeka, KS 66604|39.0468756|-95.76103160000002
The 1100 Group|Location is: The 1100 Group|3|00:00:00|01:00:00|1100 SW Wanamaker, Topeka, KS 66604|39.0468756|-95.76103160000002
The 1100 Group|Location is: The 1100 Group|4|00:00:00|01:00:00|1100 SW Wanamaker, Topeka, KS 66604|39.0468756|-95.76103160000002
The 1100 Group|Location is: The 1100 Group|5|00:00:00|01:00:00|1100 SW Wanamaker, Topeka, KS 66604|39.0468756|-95.76103160000002
The 1100 Group|Location is: The 1100 Group|6|00:00:00|01:00:00|1100 SW Wanamaker, Topeka, KS 66604|39.0468756|-95.76103160000002
The 1100 Group|Location is: The 1100 Group|7|09:15:00|10:15:00|1100 SW Wanamaker, Topeka, KS 66604|39.0468756|-95.76103160000002
O_Dooley_s Luncheon|Location is: O_Dooley_s Luncheon|3|00:00:00|01:00:00|1930 SW Westport Dr., Topeka, KS 66604|39.031736|-95.75642800000003
O_Dooley_s Luncheon|Location is: O_Dooley_s Luncheon|5|00:00:00|01:00:00|1930 SW Westport Dr., Topeka, KS 66604|39.031736|-95.75642800000003
Casa Lunch Meeting|Location is: Casa Lunch Meeting|3|00:00:00|01:00:00|3320 SW Topeka, Topeka, KS 66614|39.0231511|-95.75404779999997
Sowing the Seed|Location is: First Assembly of God Church|2|19:00:00|20:00:00|902 East 7th street, winfield, KS 67156|37.24285|-96.98677800000002
Sowing the Seed|Location is: First Assembly of God Church|4|12:00:00|13:00:00|902 East 7th street, winfield, KS 67156|37.24285|-96.98677800000002
Friday Night Live|Location is: Town & Country Christian Church|6|18:00:00|19:00:00|4925 SW 29th, Topeka, KS 66614|39.013794|-95.73958800000003
Friday Night Live Group|Location is: Town & Country Christian Church|6|19:00:00|20:00:00|4925 SW 29th, Topeka, KS 66614|39.013794|-95.73958800000003
Friday Night Live|Location is: Town & Country Christian Church|6|19:00:00|20:00:00|4925 SW 29th St, Topeka, KS 66614|39.013794|-95.73958800000003
Fight or Surrender Group|Location is: Fight or Surrender Group|2|10:30:00|11:30:00|2805 SW Prairie Rd, Topeka, KS 66614|39.015882|-95.73989
Solutions Group|Location is: Crestview United Methodist Church|4|20:00:00|21:00:00|23rd & Eveningside Dr, Topeka, KS 66614|39.025688|-95.73476099999999
Monday Nite Support Group|Location is: Metropolitan Community Church|2|19:30:00|20:30:00|4425 SW 19th St., Topeka, KS 66604|39.032336|-95.73166600000002
New Start Group|Location is: Metropolitan Community Church|5|20:00:00|21:00:00|4425 SW 19th St., Topeka, KS 66604|39.032336|-95.73166600000002
Freedom Group|Location is: Metropolitan Community Church|6|20:00:00|21:00:00|4425 SW 19th St., Topeka, KS 66604|39.032336|-95.73166600000002
Garden City 12 Step Group|Location is: AA Building|1|20:00:00|21:00:00|116 E Chestnut St, Garden City, KS 67846|37.966202|-100.87322499999999
Courage to Change|Location is: Courage to Change|4|00:00:00|01:00:00|4015 SW 21st St, Topeka, KS 66604|39.029127|-95.72728799999999
Old Time AA Group|Location is: Lowman United Church|3|19:30:00|20:30:00|15th & Gage, Topeka, KS 66604|39.041308|-95.72477600000002
Hunter_s Ridge Group|Location is: I.B.E.W. Bldg.|6|20:30:00|21:30:00|1620 NW Gage Suite A, Topeka, KS 66618|39.0809636|-95.7234378
Happy Joyous & Free Group|Location is: Most Pure Heart of Mary Church|4|00:00:00|01:00:00|3601 SW 17th, Topeka, KS 66604|39.035883|-95.72163899999998
Vision of Hope|Location is: Vision of Hope|7|20:00:00|21:00:00|330 Oakley, Topeka, KS 66606|39.062707|-95.714832
Too Young Group|Location is: First Congregational Church|4|19:00:00|20:00:00|1701 SW Collins Ave, Topeka, KS 66604|39.036209|-95.71381400000001
Sober Sunday Night Mens Grp.|Location is: First Baptist Church|1|19:30:00|20:30:00|3033 SW Mac Vicar, Topeka, KS 66611|39.01226|-95.70725800000002
North Topeka Group|Location is: North Topeka Group|3|19:00:00|20:00:00|3023 Lower Silver Lake Rd., Topeka, KS 66618|39.0814317|-95.70620339999999
North Topeka Group|Location is: North Topeka Group|5|19:00:00|20:00:00|3023 Lower Silver Lake Rd, Topeka, KS 66618|39.0814317|-95.70620339999999
North Topeka Group|Location is: North Topeka Group|7|19:00:00|20:00:00|3023 Lower Silver Lake Rd., Topeka, KS 66618|39.0814317|-95.70620339999999
We_re No Saints Group|Location is: St. Francis Hospital|5|19:30:00|20:30:00|St. Francis Hospital, Topeka, KS 66606|39.0569444|-95.69609300000002
AA|Location is: xavier church|5|20:00:00|21:00:00|James St, Mayetta, KS 66509|39.337993|-95.71976990000002
St. Anne's Ch.|Location is: St. Anne's Ch.|4|20:00:00|21:00:00|Rte. 126, Lincoln, KS |39.27467619999999|-95.80083289999999
Wednesday Women_s AA Group|Location is: Wednesday Women_s AA Group|4|17:30:00|18:30:00|731 SW Buchanan, Topeka, KS 66606|39.0534144|-95.6900101
The 5th Tradition Group|Location is: Wednesday Women_s AA Group|5|19:00:00|20:00:00|731 SW Buchanan, Topeka, KS 66606|39.0534144|-95.6900101
Recovering Women_s Group|Location is: Recovering Women_s Group|2|17:30:00|18:30:00|725 Buchanan, Topeka, KS 66606|39.0534513|-95.6899942
Easy Does It Group|Location is: Trinity Lutheran Church|3|19:30:00|20:30:00|725 SW Buchanan, Topeka, KS 66606|39.0534513|-95.6899942
Topeka Group #1 2|Location is: Topeka Group #1|2|10:00:00|11:00:00|2100 Central Park, Topeka, KS 66611|39.0284996|-95.6897027
Topeka Group #1|Location is: Topeka Group #1|2|00:00:00|01:00:00|2100 Central Park, Topeka, KS 66611|39.0284996|-95.6897027
Topeka Group #1 3|Location is: Topeka Group #1|2|16:30:00|17:30:00|2100 Central Park, Topeka, KS 66611|39.0284996|-95.6897027
Topeka Group #1 4|Location is: Topeka Group #1|2|18:00:00|19:00:00|2100 Central Park, Topeka, KS 66611|39.0284996|-95.6897027
Topeka Group #1 5|Location is: Topeka Group #1|2|20:00:00|21:00:00|2100 Central Park, Topeka, KS 66611|39.0284996|-95.6897027
